Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""5d.6s2""","=""2D""","=""3/2""","=""""","=""0.0000000""","=""""","=""0""","=""""","=""0.79755""","=""  85             :    10  5d2.(1D).6s   2D       ""","=""L3974"""
"=""5d.6s2""","=""2D""","=""5/2""","=""""","=""0.1305757""","=""""","=""""","=""0.1305757""","=""1.19907""","=""  82             :    13  5d2.(1D).6s   2D       ""","="""""
"=""5d2.(3F).6s""","=""4F""","=""3/2""","=""""","=""0.3308132""","=""""","=""""","=""0.200237""","=""0.40446""","=""  98             :     1  5d.6s2        2D       ""","="""""
"=""5d2.(3F).6s""","=""4F""","=""5/2""","=""""","=""0.3731927""","=""""","=""""","=""0.042380""","=""1.02940""","=""  98             :     1  5d.6s2        2D       ""","="""""
"=""5d2.(3F).6s""","=""4F""","=""7/2""","=""""","=""0.4332660""","=""""","=""""","=""0.060073""","=""1.23742""","=""  99             :     1                (3F) 2F  ""","="""""
"=""5d2.(3F).6s""","=""4F""","=""9/2""","=""""","=""0.5110098""","=""""","=""""","=""0.077744""","=""1.33278""","="" 100                                             ""","="""""
"=""5d2.(3F).6s""","=""2F""","=""5/2""","=""""","=""0.8693659""","=""""","=""""","=""0.358356""","=""0.89830""","=""  86             :     5                (1D) 2D  ""","="""""
"=""5d2.(3F).6s""","=""2F""","=""7/2""","=""""","=""0.9983409""","=""""","=""""","=""0.128975""","=""1.13469""","=""  93             :     4  5d3           2F       ""","="""""
"=""5d2.(3P).6s""","=""4P""","=""1/2""","=""""","=""0.8965802""","=""""","=""""","=""-0.101761""","=""2.65252""","=""  99             :     1                (1S) 2S  ""","="""""
"=""5d2.(3P).6s""","=""4P""","=""3/2""","=""""","=""0.9287062""","=""""","=""""","=""0.032126""","=""1.70427""","=""  97             :     2                (1D) 2D  ""","="""""
"=""5d2.(3P).6s""","=""4P""","=""5/2""","=""""","=""0.9521911""","=""""","=""""","=""0.023485""","=""1.50558""","=""  82             :    10                (1D) 2D  ""","="""""
"=""5d2.(1D).6s""","=""2D""","=""3/2""","=""""","=""1.0471760""","=""""","=""""","=""0.094985""","=""0.93603""","=""  61             :    18                (3P) 2P  ""","="""""
"=""5d2.(1D).6s""","=""2D""","=""5/2""","=""""","=""1.1386457""","=""""","=""""","=""0.091470""","=""1.25449""","=""  67             :    16                (3P) 4P  ""","="""""
"=""5d2.(3P).6s""","=""2P""","=""1/2""","=""""","=""1.1213396""","=""""","=""""","=""-0.017306""","=""0.690""","=""  72             :    26  5d3           2P       ""","="""""
"=""5d2.(3P).6s""","=""2P""","=""3/2""","=""""","=""1.2050569""","=""""","=""""","=""0.083717""","=""1.220""","=""  54             :    21  5d3           2P       ""","="""""
"=""5d2.(1G).6s""","=""2G""","=""9/2""","=""""","=""1.2299011""","=""""","=""""","=""0.024844""","=""1.107""","=""  91             :     8  5d3           2G       ""","="""""
"=""5d2.(1G).6s""","=""2G""","=""7/2""","=""""","=""1.2349947""","=""""","=""""","=""0.005094""","=""0.892""","=""  88             :     9  5d3           2G       ""","="""""
"=""5d3""","=""4F""","=""3/2""","=""""","=""1.5411991""","=""""","=""""","=""0.306204""","=""0.411""","=""  98             :     1                2D2      ""","="""""
"=""5d3""","=""4F""","=""5/2""","=""""","=""1.5854360""","=""""","=""""","=""0.044237""","=""1.026""","=""  99                                             ""","="""""
"=""5d3""","=""4F""","=""7/2""","=""""","=""1.6413429""","=""""","=""""","=""0.055907""","=""1.228""","=""  99                                             ""","="""""
"=""5d3""","=""4F""","=""9/2""","=""""","=""1.7044450""","=""""","=""""","=""0.063102""","=""""","=""  97             :     2                2G       ""","="""""
"=""5d.6s.(3D).6p""","=""4F*""","=""3/2""","=""""","=""1.644078""","=""""","=""""","=""-0.060367""","=""0.52""","=""  71                                             ""","="""""
"=""5d.6s.(3D).6p""","=""4F*""","=""5/2""","=""""","=""1.835472""","=""""","=""""","=""0.19139""","=""1.09""","=""  53             :    10  5d2.6p        2G*      ""","="""""
"=""5d.6s.(3D).6p""","=""4F*""","=""7/2""","=""""","=""1.862182""","=""""","=""""","=""0.02671""","=""1.237""","=""  89                                             ""","="""""
"=""5d.6s.(3D).6p""","=""4F*""","=""9/2""","=""""","=""2.013896""","=""""","=""""","=""0.15171""","=""""","=""  97                                             ""","="""""
"=""5d.6s.(3D).6p""","=""*""","=""5/2""","=""""","=""1.690034""","=""""","=""""","=""-0.32386""","=""1.096""","=""  43  4F*        :    10  5d2.6p                 ""","="""""
"=""5d.6s.(3D).6p""","=""4D*""","=""1/2""","=""""","=""1.747643""","=""""","=""""","=""0.05761""","=""0.357""","=""  49             :    26  6s2.6p        2P*      ""","="""""
"=""5d.6s.(3D).6p""","=""4D*""","=""3/2""","=""""","=""1.823674""","=""""","=""""","=""0.07603""","=""1.01""","=""  57                                             ""","="""""
"=""5d.6s.(3D).6p""","=""4D*""","=""5/2""","=""""","=""1.922206""","=""""","=""""","=""0.09853""","=""1.36""","=""  86                                             ""","="""""
"=""5d.6s.(3D).6p""","=""4D*""","=""7/2""","=""""","=""1.996058""","=""""","=""""","=""0.07385""","=""1.37""","=""  81                                             ""","="""""
"=""5d.6s.(3D).6p""","=""*""","=""3/2""","=""""","=""1.863686""","=""""","=""""","=""-0.13237""","=""0.92""","=""  25  2D*        :    11  5d2.6p                 ""","="""""
