Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Reference
"=""5d6.6s2""","=""a 5D""","=""4""","=""""","=""0.000000""","=""""","=""0""","=""""","=""1.44""","=""L3466"""
"=""5d6.6s2""","=""a 5D""","=""2""","=""""","=""0.339777""","=""""","=""""","=""0.339777""","=""1.44""","="""""
"=""5d6.6s2""","=""a 5D""","=""3""","=""""","=""0.515690""","=""""","=""""","=""0.17591""","=""1.47""","="""""
"=""5d6.6s2""","=""a 5D""","=""1""","=""""","=""0.714910""","=""""","=""""","=""0.19922""","=""1.47""","="""""
"=""5d6.6s2""","=""a 5D""","=""0""","=""""","=""0.755410""","=""""","=""""","=""0.04050""","=""""","="""""
"=""5d7.(4F).6s""","=""a 5F""","=""5""","=""""","=""0.637765""","=""""","=""""","=""-0.11764""","=""1.38""","="""""
"=""5d7.(4F).6s""","=""a 5F""","=""4""","=""""","=""1.083973""","=""""","=""""","=""0.44621""","=""1.31""","="""""
"=""5d7.(4F).6s""","=""a 5F""","=""2""","=""""","=""1.260421""","=""""","=""""","=""0.17645""","=""1.45""","="""""
"=""5d7.(4F).6s""","=""a 5F""","=""3""","=""""","=""1.410692""","=""""","=""""","=""0.15027""","=""1.26""","="""""
"=""5d7.(4F).6s""","=""a 5F""","=""1""","=""""","=""1.614283""","=""""","=""""","=""0.20359""","=""0.31""","="""""
"=""5d7.(4F).6s""","=""a 3F""","=""4""","=""""","=""1.367618""","=""""","=""""","=""-0.24666""","=""1.16""","="""""
"=""5d7.(4F).6s""","=""a 3F""","=""2""","=""""","=""1.583821""","=""""","=""""","=""0.21620""","=""1.00""","="""""
"=""5d7.(4F).6s""","=""a 3F""","=""3""","=""""","=""1.747107""","=""""","=""""","=""0.16329""","=""1.10""","="""""
"=""""","=""1336""","=""2""","=""""","=""1.657028""","=""""","=""""","=""-0.09008""","=""0.94""","="""""
"=""5d6.6s2""","=""a 3H""","=""5""","=""""","=""1.777808""","=""""","=""""","=""0.12078""","=""1.13""","="""""
"=""5d6.6s2""","=""a 3H""","=""4""","=""""","=""1.840924""","=""""","=""""","=""0.06312""","=""1.08""","="""""
"=""5d6.6s2""","=""a 3H""","=""6""","=""""","=""1.841454""","=""""","=""""","=""0.00053""","=""1.14""","="""""
"=""""","=""1522""","=""2""","=""""","=""1.887358""","=""""","=""""","=""0.04590""","=""1.61""","="""""
"=""5d7.(4P).6s""","=""a 5P""","=""1""","=""""","=""""","=""""","=""""","=""""","=""""","="""""
"=""5d7.(4P).6s""","=""a 5P""","=""2""","=""""","=""""","=""""","=""""","=""""","=""""","="""""
"=""5d7.(4P).6s""","=""a 5P""","=""3""","=""""","=""1.908211""","=""""","=""""","=""""","=""1.54""","="""""
"=""""","=""1621""","=""1""","=""""","=""2.010083""","=""""","=""""","=""0.10187""","=""1.74""","="""""
"=""""","=""1766""","=""1""","=""""","=""2.190471""","=""""","=""""","=""0.18039""","=""1.40""","="""""
"=""5d7.(4P).6s""","=""a 3P""","=""1""","=""""","=""""","=""""","=""""","=""""","=""""","="""""
"=""5d7.(4P).6s""","=""a 3P""","=""2""","=""""","=""""","=""""","=""""","=""""","=""""","="""""
"=""5d7.(4P).6s""","=""a 3P""","=""0""","=""""","=""2.269084""","=""""","=""""","=""""","=""""","="""""
"=""""","=""1890""","=""3""","=""""","=""2.343542""","=""""","=""""","=""0.07446""","=""1.20""","="""""
"=""""","=""1904""","=""0""","=""""","=""2.361764""","=""""","=""""","=""0.01822""","=""""","="""""
"=""""","=""1910""","=""4""","=""""","=""2.369198""","=""""","=""""","=""0.00743""","=""1.03""","="""""
"=""""","=""1941""","=""2""","=""""","=""2.406615""","=""""","=""""","=""0.03742""","=""0.97""","="""""
"=""""","=""1989""","=""4""","=""""","=""2.466426""","=""""","=""""","=""0.05981""","=""1.06""","="""""
"=""""","=""2103""","=""1""","=""""","=""2.607815""","=""""","=""""","=""0.14139""","=""0.88""","="""""
"=""""","=""2112""","=""3""","=""""","=""2.619000""","=""""","=""""","=""0.01119""","=""0.94""","="""""
"=""""","=""2130""","=""2""","=""""","=""2.641280""","=""""","=""""","=""0.02228""","=""1.26""","="""""
"=""""","=""2256""","=""1""","=""""","=""2.797536""","=""""","=""""","=""0.15626""","=""""","="""""
