Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Reference
"=""4d4.(5D).5s""","=""a 6D""","=""1/2""","=""""","=""0.000000""","=""""","=""0""","=""""","=""3.323""","=""L3465"""
"=""4d4.(5D).5s""","=""a 6D""","=""3/2""","=""""","=""0.019117""","=""""","=""""","=""0.019117""","=""1.863""","=""L3465"""
"=""4d4.(5D).5s""","=""a 6D""","=""5/2""","=""""","=""0.048601""","=""""","=""""","=""0.02948""","=""1.652""","=""L3465"""
"=""4d4.(5D).5s""","=""a 6D""","=""7/2""","=""""","=""0.086200""","=""""","=""""","=""0.03760""","=""1.582""","=""L3465"""
"=""4d4.(5D).5s""","=""a 6D""","=""9/2""","=""""","=""0.130216""","=""""","=""""","=""0.04402""","=""1.549""","=""L3465"""
"=""4d3.5s2""","=""a 4F""","=""3/2""","=""""","=""0.141688""","=""""","=""""","=""0.01147""","=""0.402""","=""L3465"""
"=""4d3.5s2""","=""a 4F""","=""5/2""","=""""","=""0.196751""","=""""","=""""","=""0.05506""","=""1.029""","=""L3465"""
"=""4d3.5s2""","=""a 4F""","=""7/2""","=""""","=""0.267076""","=""""","=""""","=""0.07032""","=""1.235""","=""L3465"""
"=""4d3.5s2""","=""a 4F""","=""9/2""","=""""","=""0.347820""","=""""","=""""","=""0.08074""","=""1.330""","=""L3465"""
"=""4d3.5s2""","=""a 4P""","=""1/2""","=""""","=""0.619694""","=""""","=""""","=""0.27187""","=""2.650""","=""L3465"""
"=""4d3.5s2""","=""a 4P""","=""3/2""","=""""","=""0.656858""","=""""","=""""","=""0.03716""","=""1.721""","=""L3465"""
"=""4d3.5s2""","=""a 4P""","=""5/2""","=""""","=""0.739622""","=""""","=""""","=""0.08276""","=""1.596""","=""L3465"""
"=""4d4.(5D).5s""","=""a 4D""","=""1/2""","=""""","=""1.042819""","=""""","=""""","=""0.30320""","=""0.06""","=""L3465"""
"=""4d4.(5D).5s""","=""a 4D""","=""3/2""","=""""","=""1.079322""","=""""","=""""","=""0.03650""","=""1.197""","=""L3465"""
"=""4d4.(5D).5s""","=""a 4D""","=""5/2""","=""""","=""1.121206""","=""""","=""""","=""0.04188""","=""1.360""","=""L3465"""
"=""4d4.(5D).5s""","=""a 4D""","=""7/2""","=""""","=""1.177542""","=""""","=""""","=""0.05634""","=""1.420""","=""L3465"""
"=""4d3.5s2""","=""a 2G""","=""7/2""","=""""","=""1.094409""","=""""","=""""","=""-0.08313""","=""0.885""","=""L3465"""
"=""4d3.5s2""","=""a 2G""","=""9/2""","=""""","=""1.156634""","=""""","=""""","=""0.06222""","=""1.103""","=""L3465"""
"=""4d3.5s2""","=""a 2D""","=""3/2""","=""""","=""1.170297""","=""""","=""""","=""0.01366""","=""0.953""","=""L3465"""
"=""4d3.5s2""","=""a 2D""","=""5/2""","=""""","=""1.269289""","=""""","=""""","=""0.09899""","=""1.206""","=""L3465"""
"=""4d3.5s2""","=""a 2P""","=""1/2""","=""""","=""1.255471""","=""""","=""""","=""-0.01382""","=""0.66""","=""L3465"""
"=""4d3.5s2""","=""a 2P""","=""3/2""","=""""","=""1.403264""","=""""","=""""","=""0.14779""","=""1.175""","=""L3465"""
"=""4d4.(3H).5s""","=""a 4H""","=""7/2""","=""""","=""1.354247""","=""""","=""""","=""-0.04902""","=""0.690""","=""L3465"""
"=""4d4.(3H).5s""","=""a 4H""","=""9/2""","=""""","=""1.369291""","=""""","=""""","=""0.01504""","=""0.984""","=""L3465"""
"=""4d4.(3H).5s""","=""a 4H""","=""11/2""","=""""","=""1.394559""","=""""","=""""","=""0.02527""","=""1.12""","=""L3465"""
"=""4d4.(3H).5s""","=""a 4H""","=""13/2""","=""""","=""1.428874""","=""""","=""""","=""0.03431""","=""1.22""","=""L3465"""
"=""4d5""","=""a 6S""","=""5/2""","=""""","=""1.406564""","=""""","=""""","=""-0.02231""","=""1.99""","=""L3465"""
"=""4d4.(3G).5s""","=""a 4G""","=""5/2""","=""""","=""1.490073""","=""""","=""""","=""0.08351""","=""0.742""","=""L3465"""
"=""4d4.(3G).5s""","=""a 4G""","=""7/2""","=""""","=""1.504779""","=""""","=""""","=""0.01471""","=""1.081""","=""L3465"""
"=""4d4.(3G).5s""","=""a 4G""","=""9/2""","=""""","=""1.532160""","=""""","=""""","=""0.02738""","=""1.23""","=""L3465"""
"=""4d4.(3G).5s""","=""a 4G""","=""11/2""","=""""","=""1.613307""","=""""","=""""","=""0.08115""","=""1.26""","=""L3465"""
"=""4d3.5s2""","=""a 2H""","=""9/2""","=""""","=""1.500472""","=""""","=""""","=""-0.11284""","=""0.93""","=""L3465"""
"=""4d3.5s2""","=""a 2H""","=""11/2""","=""""","=""1.550171""","=""""","=""""","=""0.04970""","=""1.10""","=""L3465"""
"=""4d4.(b 3F).5s""","=""b 4F""","=""3/2""","=""""","=""1.523549""","=""""","=""""","=""-0.02662""","=""0.402""","=""L3465"""
"=""4d4.(b 3F).5s""","=""b 4F""","=""5/2""","=""""","=""1.573622""","=""""","=""""","=""0.05007""","=""0.852""","=""L3465"""
"=""4d4.(b 3F).5s""","=""b 4F""","=""7/2""","=""""","=""1.609610""","=""""","=""""","=""0.03599""","=""1.120""","=""L3465"""
"=""4d4.(b 3F).5s""","=""b 4F""","=""9/2""","=""""","=""1.629860""","=""""","=""""","=""0.02025""","=""1.224""","=""L3465"""
"=""4d3.5s2""","=""a 2F""","=""5/2""","=""""","=""1.661980""","=""""","=""""","=""0.03212""","=""0.860""","=""L3465"""
"=""4d3.5s2""","=""a 2F""","=""7/2""","=""""","=""1.675671""","=""""","=""""","=""0.01369""","=""1.130""","=""L3465"""
"=""4d4.(a 3P).5s""","=""b 4P""","=""1/2""","=""""","=""1.689799""","=""""","=""""","=""0.01413""","=""2.64""","=""L3465"""
"=""4d4.(a 3P).5s""","=""b 4P""","=""3/2""","=""""","=""1.761977""","=""""","=""""","=""0.07218""","=""1.71""","=""L3465"""
"=""4d4.(a 3P).5s""","=""b 4P""","=""5/2""","=""""","=""1.847273""","=""""","=""""","=""0.08530""","=""1.54""","=""L3465"""
"=""4d4.(3D).5s""","=""b 4D""","=""7/2""","=""""","=""1.894770""","=""""","=""""","=""0.04750""","=""1.43""","=""L3465"""
"=""4d4.(3D).5s""","=""b 4D""","=""3/2""","=""""","=""1.914223""","=""""","=""""","=""0.01945""","=""1.21""","=""L3465"""
"=""4d4.(3D).5s""","=""b 4D""","=""1/2""","=""""","=""1.916891""","=""""","=""""","=""0.00267""","=""0.04""","=""L3465"""
"=""4d4.(3D).5s""","=""b 4D""","=""5/2""","=""""","=""1.917674""","=""""","=""""","=""0.00078""","=""1.42""","=""L3465"""
"=""4d3.5s.(5F).5p""","=""z 6G*""","=""3/2""","=""""","=""2.067065""","=""""","=""""","=""0.14939""","=""0.00""","=""L3465"""
"=""4d3.5s.(5F).5p""","=""z 6G*""","=""5/2""","=""""","=""2.105377""","=""""","=""""","=""0.03831""","=""""","=""L3465"""
"=""4d3.5s.(5F).5p""","=""z 6G*""","=""9/2""","=""""","=""2.223937""","=""""","=""""","=""0.11856""","=""""","=""L3465"""
"=""4d4.(3H).5s""","=""b 2H""","=""9/2""","=""""","=""2.086471""","=""""","=""""","=""-0.13747""","=""1.04""","=""L3465"""
"=""4d4.(3H).5s""","=""b 2H""","=""11/2""","=""""","=""2.166775""","=""""","=""""","=""0.08030""","=""1.01""","=""L3465"""
"=""4d4.(3G).5s""","=""b 2G""","=""7/2""","=""""","=""2.097661""","=""""","=""""","=""-0.06911""","=""0.88""","=""L3465"""
"=""4d4.(3G).5s""","=""b 2G""","=""9/2""","=""""","=""2.236175""","=""""","=""""","=""0.13851""","=""0.97""","=""L3465"""
"=""4d3.5s.(5F).5p""","=""z 6G*""","=""7/2""","=""""","=""2.1579846""","=""""","=""0.0000025""","=""-0.078190""","=""""","=""L9102"""
"=""4d3.5s.(5F).5p""","=""z 6G*""","=""11/2""","=""""","=""2.3021609""","=""""","=""0.0000025""","=""0.144176""","=""""","=""L9102"""
"=""4d3.5s.(5F).5p""","=""z 6G*""","=""13/2""","=""""","=""2.391850""","=""""","=""0.000010""","=""0.089689""","=""""","=""L9102"""
"=""""","=""183""","=""11/2""","=""""","=""2.272883""","=""""","=""""","=""-0.11897""","=""""","=""L3465"""
"=""4d3.5s.(5F).5p""","=""z 6F*""","=""1/2""","=""""","=""2.329798""","=""""","=""""","=""0.05691""","=""-0.373""","=""L3465"""
"=""4d3.5s.(5F).5p""","=""z 6F*""","=""3/2""","=""""","=""2.360231""","=""""","=""""","=""0.03043""","=""1.145""","=""L3465"""
"=""4d3.5s.(5F).5p""","=""z 6F*""","=""5/2""","=""""","=""2.408753""","=""""","=""""","=""0.04852""","=""1.35""","=""L3465"""
"=""4d3.5s.(5F).5p""","=""z 6F*""","=""7/2""","=""""","=""2.469355""","=""""","=""""","=""0.06060""","=""1.39""","=""L3465"""
"=""4d3.5s.(5F).5p""","=""z 6F*""","=""9/2""","=""""","=""2.533259""","=""""","=""""","=""0.06390""","=""1.44""","=""L3465"""
"=""4d4.5s""","=""190""","=""7/2""","=""""","=""2.360003""","=""""","=""""","=""-0.17326""","=""0.92""","=""L12172"""
"=""4d4.5s""","=""195""","=""9/2""","=""""","=""2.424748""","=""""","=""""","=""0.06475""","=""1.14""","=""L12172"""
"=""4d4.5s""","=""195""","=""5/2""","=""""","=""2.426212""","=""""","=""""","=""0.00146""","=""0.94""","=""L12172"""
"=""4d3.5s.(5F).5p""","=""z 6D*""","=""1/2""","=""""","=""2.433061""","=""""","=""""","=""0.00685""","=""3.01""","=""L3465"""
"=""4d3.5s.(5F).5p""","=""z 6D*""","=""3/2""","=""""","=""2.450570""","=""""","=""""","=""0.01751""","=""1.72""","=""L3465"""
"=""4d3.5s.(5F).5p""","=""z 6D*""","=""5/2""","=""""","=""2.478913""","=""""","=""""","=""0.02834""","=""1.56""","=""L3465"""
"=""4d3.5s.(5F).5p""","=""z 6D*""","=""7/2""","=""""","=""2.518831""","=""""","=""""","=""0.03992""","=""1.55""","=""L3465"""
"=""4d3.5s.(5F).5p""","=""z 6D*""","=""9/2""","=""""","=""2.570673""","=""""","=""""","=""0.05184""","=""1.54""","=""L3465"""
"=""4d4.5s""","=""199""","=""5/2""","=""""","=""2.471251""","=""""","=""""","=""-0.09942""","=""1.13""","=""L12172"""
"=""4d4.5s""","=""200""","=""7/2""","=""""","=""2.487227""","=""""","=""""","=""0.01598""","=""1.10""","=""L12172"""
